,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203
0400000US17,Illinois,0500000US17175,Illinois - Stark County,Stark County,5994,2674,2425,249
0400000US17,Illinois,0500000US17177,Illinois - Stephenson County,Stephenson County,47711,22081,19845,2236
0400000US17,Illinois,0500000US17179,Illinois - Tazewell County,Tazewell County,135394,57516,54146,3370
0400000US17,Illinois,0500000US17181,Illinois - Union County,Union County,17808,7924,7167,757
0400000US17,Illinois,0500000US17183,Illinois - Vermilion County,Vermilion County,81625,36318,32655,3663
0400000US17,Illinois,0500000US17185,Illinois - Wabash County,Wabash County,11947,5585,5012,573
0400000US17,Illinois,0500000US17187,Illinois - Warren County,Warren County,17707,7682,6918,764
0400000US17,Illinois,0500000US17189,Illinois - Washington County,Washington County,14716,6534,5926,608
0400000US17,Illinois,0500000US17191,Illinois - Wayne County,Wayne County,16760,7975,7102,873
0400000US17,Illinois,0500000US17193,Illinois - White County,White County,14665,7181,6313,868
0400000US17,Illinois,0500000US17195,Illinois - Whiteside County,Whiteside County,58498,25770,23740,2030
0400000US17,Illinois,0500000US17197,Illinois - Will County,Will County,677560,237501,225256,12245
0400000US17,Illinois,0500000US17199,Illinois - Williamson County,Williamson County,66357,30359,27421,2938
0400000US17,Illinois,0500000US17201,Illinois - Winnebago County,Winnebago County,295266,125965,115501,10464
0400000US17,Illinois,0500000US17203,Illinois - Woodford County,Woodford County,38664,15145,14276,869
